词语	拼音	词性	分级	义类编码
包装	bāozhuāng	名	2	叁二Ab
包装	bāozhuāng	动	2	伍一Fa
包子	bāo·zi	名	1	贰九Ac
剥	bāo	动	2	伍一Bd
褒贬	bāobiǎn	动	4	陆一Ic
褒义	bāoyì	名	3	叁八Cb
薄	báo	形	2	捌一Eb
饱	bǎo	形	1	伍四Ga
饱含	bǎohán	动	3	柒六Me
饱和	bǎohé	形	4	捌三Ae
饱经沧桑	bǎojīng-cāngsāng		3	捌五Ya
饱览	bǎolǎn	动	3	伍二Da
饱满	bǎomǎn	动	3	伍六Ea
饱满	bǎomǎn	形	3	捌三Da
宝	bǎo	名	1	贰二Ce
宝贝	bǎo·bèi	名	1	壹一Ca
宝贝	bǎo·bèi	名	2	贰二Ce
宝贵	bǎoguì	形	2	捌四Qa
宝库	bǎokù	名	2	贰二Ce
宝石	bǎoshí	名	2	贰四Ea
宝物	bǎowù	名	2	贰二Ce
宝物	bǎowù	名	2	叁一Ha
宝藏	bǎozàng	名	3	贰二Ce
保安	bǎo’ān	名	2	壹一Jp
保持	bǎochí	动	2	柒六Ke
保存	bǎocún	动	2	伍七Hd
保管	bǎoguǎn	动	3	伍七Hd
保护	bǎohù	动	1	陆十Ea
保健	bǎojiàn	动	3	伍七Bd
保留	bǎoliú	动	2	柒六Kd
保姆	bǎomǔ	名	2	壹一Jp
保暖	bǎo//nuǎn	动	2	伍七Bj
保守	bǎoshǒu	动	3	陆一Rb
保守	bǎoshǒu	形	4	捌五Pb
保卫	bǎowèi	动	2	陆六Da
保险	bǎoxiǎn	动	3	伍七Ed
保险	bǎoxiǎn	形	3	捌四Ee
保修	bǎoxiū	动	3	伍七Ed
保养	bǎoyǎng	动	3	伍七Bd
保佑	bǎoyòu	动	3	陆八Da
保障	bǎozhàng	动	3	陆十Ea
保证	bǎozhèng	动	2	伍七Ed
堡垒	bǎolěi	名	4	贰六Fa
报仇	bào//chóu	动	2	陆十一Gd
报酬	bào·chou	名	3	叁七Fa
报答	bàodá	动	3	陆九Ia
报到	bào//dào	动	1	陆一Lc
报道	bàodào	名	3	叁八Df
报道	bàodào	动	3	陆五Ea
报废	bào//fèi	动	3	柒五Cd
报复	bào·fù	动	3	陆十一Gd
报告	bàogào	名	2	叁八Ef
报告	bàogào	动	2	陆一Lc
报警	bào//jǐng	动	2	陆一Lc
报刊	bàokān	名	3	叁八Fa
报考	bàokǎo	动	2	陆一Lc
报名	bào//míng	动	2	陆一Lc
报时	bào//shí	动	2	陆九Fa
报销	bàoxiāo	动	4	陆二Ea
报纸	bàozhǐ	名	2	叁八Fa
刨	bào	动	4	伍一Jb
刨	páo	动	4	伍一Je
刨子	bào·zi	名	4	贰五Cc
抱	bào	动	1	伍一Cc
抱残守缺	bàocán-shǒuquē		4	捌五Pb
抱负	bàofù	名	3	叁三Ea
抱歉	bàoqiàn	形	3	伍五Ee
抱歉	bàoqiàn	形	3	陆九Ib
抱拳	bào//quán	动	4	伍三Ga
抱头鼠窜	bàotóu-shǔcuàn		4	伍七Ja
抱薪救火	bàoxīn-jiùhuǒ		4	伍八Bf
抱怨	bào·yuàn	动	3	伍五Hb
豹	bào	名	2	壹二Bb
暴动	bàodòng	名	4	叁一Ac
暴风	bàofēng	名	2	贰三Ca
暴风雨	bàofēngyǔ	名	2	贰三Cc
暴风骤雨	bàofēng-zhòuyǔ		3	贰三Ca
暴风骤雨	bàofēng-zhòuyǔ		4	叁一Ac
暴力	bàolì	名	3	叁二Ga
暴烈	bàoliè	形	4	捌五Ca
暴露	bàolù	动	3	伍八De
暴乱	bàoluàn	名	4	叁一Ac
暴怒	bàonù	动	4	伍五Ca
暴虐	bàonüè	形	4	捌五Ab
暴殄天物	bàotiǎn-tiānwù		4	捌五Nb
暴跳	bàotiào	动	3	伍五Ca
暴跳如雷	bàotiào-rúléi		3	伍五Ca
暴雨	bàoyǔ	名	2	贰三Cc
暴躁	bàozào	形	3	捌五Ca
曝光	bào//guāng	动	4	陆五Ga
爆发	bàofā	动	2	柒三Fb
爆破	bàopò	动	4	陆六Fb
爆炸	bàozhà	动	2	陆六Fb
爆竹	bàozhú	名	2	贰八Db
杯弓蛇影	bēigōng-shéyǐng		4	伍五Ea
杯盘狼藉	bēipán-lángjí		4	捌六Hb
杯水车薪	bēishuǐ-chēxīn		4	捌四Fb
杯子	bēi·zi	名	1	贰七Bb
卑鄙	bēibǐ	形	3	捌五Qb
卑躬屈膝	bēigōng-qūxī		4	捌四Qd
卑贱	bēijiàn	形	4	捌五Qb
卑劣	bēiliè	形	4	捌五Qb
卑微	bēiwēi	形	4	捌四Qd
背	bèi	名	1	壹五Ae
背	bēi	动	1	伍一Db
背包	bēibāo	名	2	贰七Be
悲哀	bēi’āi	形	3	伍五Ba
悲惨	bēicǎn	形	2	捌六Ib
悲怆	bēichuàng	形	4	伍五Ba
悲愤	bēifèn	形	3	伍五Ca
悲观	bēiguān	形	3	捌五Fb
悲欢离合	bēihuān-líhé		4	叁一Ea
悲剧	bēijù	名	3	叁九Bb
悲凉	bēiliáng	形	3	捌六Ib
悲伤	bēishāng	形	2	伍五Ba
悲天悯人	bēitiān-mǐnrén		4	伍五Kb
悲痛	bēitòng	形	3	伍五Ba
悲壮	bēizhuàng	形	4	伍五Ba
碑	bēi	名	2	贰六Ha
北	běi	名	1	肆二Ac
北斗星	běidǒuxīng	名	1	贰三Ab
北方	běifāng	名	1	肆二Ac
北风	běifēng	名	1	贰三Ca
北极	běijí	名	2	贰三Ac
北京	Běijīng	名	1	叁五Ae
贝壳	bèiké	名	2	壹五Bc
备战	bèi//zhàn	动	3	陆六Aa
背道而驰	bèidào’érchí		4	柒六Fb
背地	bèidì	名	2	肆二Ae
背后	bèihòu	名	2	肆二Ae
背井离乡	bèijǐng-líxiāng		3	伍八Nc
背景	bèijǐng	名	2	贰八Ab
背景	bèijǐng	名	2	叁一Fb
背叛	bèipàn	动	3	陆六Hb
背水一战	bèishuǐ-yīzhàn		3	陆六Ca
背诵	bèisòng	动	2	陆五Cb
背心	bèixīn	名	2	贰七Cb
背信弃义	bèixìn-qìyì		4	陆九Ab
背影	bèiyǐng	名	2	贰三Fb
倍	bèi	量	2	叁十Bg
被	bèi	介	1	玖二Cb
被动	bèidòng	形	2	捌五Fb
被告	bèigào	名	4	壹一Lf
被迫	bèipò	动	3	伍五Be
被褥	bèirù	名	3	贰七Bj
被子	bèi·zi	名	1	贰七Bj
辈	bèi	名	2	叁四Ba
奔	bēn	动	2	伍一Kb
奔	bēn	动	2	伍七Ja
奔波	bēnbō	动	3	伍七Ac
奔驰	bēnchí	动	3	伍一Kb
奔放	bēnfàng	形	3	捌五Ee
奔赴	bēnfù	动	4	伍七Ia
奔跑	bēnpǎo	动	2	伍一Kb
奔丧	bēn//sāng	动	4	伍七Ma
奔腾	bēnténg	动	3	伍一Kb
奔走	bēnzǒu	动	3	伍七Ac
奔走相告	bēnzǒu-xiānggào		4	陆九Fa
本	běn	名	1	贰八Ca
本	běn	量	1	叁十Ca
本分	běnfèn	形	3	捌五Ed
本家	běnjiā	名	4	壹一Da
本科	běnkē	名	4	叁四Cc
本来	běnlái	形	2	捌四Ta
本来	běnlái	副	2	玖一Dc
本领	běnlǐng	名	2	叁二Ie
本能	běnnéng	名	3	叁二Ba
本钱	běnqián	名	3	叁七Db
本人	běnrén	代	3	壹一Ab
本色	běnsè	名	4	叁二Dc
本身	běnshēn	代	3	壹一Ab
本事	běn·shi	名	2	叁二Ie
本土	běntǔ	名	3	肆二Cd
本土	běntǔ	名	2	捌四Ub
本质	běnzhì	名	3	叁二Dc
本子	běn·zi	名	1	贰八Ca
本子	běn·zi	名	4	叁八Db
笨	bèn	形	1	捌二Ld
笨	bèn	形	1	捌五Td
笨蛋	bèndàn	名	1	壹一Ib
笨鸟先飞	bènniǎo-xiānfēi		3	捌五Va
笨手笨脚	bènshǒu-bènjiǎo		2	捌五Td
笨重	bènzhòng	形	2	捌二Ld
笨拙	bènzhuō	形	3	捌五Td
崩溃	bēngkuì	动	4	伍八Da
崩溃	bēngkuì	动	4	柒二Ke
崩塌	bēngtā	动	3	柒二Bf
绷	bēng	动	4	伍一Ba
迸发	bèngfā	动	4	柒二Ob
迸溅	bèngjiàn	动	4	柒二Ob
迸裂	bèngliè	动	4	柒二Ke
迸射	bèngshè	动	4	柒二Ob
蹦	bèng	动	3	伍一La
逼	bī	动	2	陆十一Hf
逼近	bījìn	动	3	柒二Fc
逼迫	bīpò	动	4	陆十一Hf
逼上梁山	bīshàng-liángshān		4	伍五Be
逼真	bīzhēn	形	3	捌四Ja
鼻孔	bíkǒng	名	1	壹五Ad
鼻涕	bítì	名	2	壹五Aq
鼻子	bí·zi	名	1	壹五Ad
鼻祖	bízǔ	名	4	壹一Ae
匕首	bǐshǒu	名	3	贰五Fg
比	bǐ	动	1	伍七Hf
比	bǐ	动	1	陆五Ja
比	bǐ	介	1	玖二Da
比比皆是	bǐbǐ-jiēshì		3	捌三Aa
比方	bǐ·fang	动	2	柒六Ac
比分	bǐfēn	名	2	叁十Bc
比画	bǐ·hua	动	2	伍一Hb
比较	bǐjiào	动	1	伍七Hf
比较	bǐjiào	副	1	玖一Ab
比例	bǐlì	名	2	叁十Bg
比拟	bǐnǐ	动	3	伍七Hf
比如	bǐrú	动	1	柒六Ee
比赛	bǐsài	名	1	叁九Db
比赛	bǐsài	动	1	陆五Ja
比喻	bǐyù	名	2	叁八Ce
比喻	bǐyù	动	2	柒六Ac
比重	bǐzhòng	名	3	叁十Bg
比作	bǐzuò	动	2	柒六Ac
彼此	bǐcǐ	代	3	叁二Cb
笔	bǐ	名	1	贰八Ca
笔耕	bǐgēng	动	4	陆五Ea
笔画	bǐhuà	名	1	叁八Ca
笔记	bǐjì	名	2	叁八Ec
笔记	bǐjì	动	4	陆五Eb
笔记本	bǐjìběn	名	2	贰八Ca
笔记本	bǐjìběn	名	2	贰八Cb
笔墨	bǐmò	名	3	叁二Ie
笔试	bǐshì	动	2	陆五Ad
笔顺	bǐshùn	名	1	叁八Ca
笔挺	bǐtǐng	形	3	捌一Ka
笔直	bǐzhí	形	2	捌一Ja
鄙薄	bǐbó	形	4	伍五Nc
鄙人	bǐrén	名	4	壹一Ab
鄙视	bǐshì	动	3	伍五Nc
鄙夷	bǐyí	动	4	伍五Nc
必	bì	副	1	玖一Db
必定	bìdìng	副	2	玖一Db
必将	bìjiāng	副	3	玖一Db
必然	bìrán	名	4	叁一Ca
必然	bìrán	副	2	玖一Db
必修	bìxiū	动	3	陆五Ba
必须	bìxū	动	2	伍五Zb
必须	bìxū	副	2	玖一Db
必需	bìxū	动	2	柒六Ia
必要	bìyào	形	2	捌四Lc
毕恭毕敬	bìgōng-bìjìng		4	伍五Qd
毕竟	bìjìng	副	3	玖一Df
毕生	bìshēng	名	3	肆一Ia
毕业	bì//yè	动	2	柒三Bb
毕业生	bìyèshēng	名	3	壹一Jr
闭	bì	动	2	伍一Aj
闭	bì	动	1	伍二Bb
闭关锁国	bìguān-suǒguó		4	陆一Rb
闭关自守	bìguān-zìshǒu		4	陆一Rb
闭关自守	bìguān-zìshǒu		4	捌五Pb
闭门思过	bìmén-sīguò		3	伍五Jc
闭门造车	bìmén-zàochē		3	伍五Nb
闭目塞听	bìmù-sètīng		4	伍五Nb
闭幕	bì//mù	动	2	柒三Bb
闭幕式	bìmùshì	名	2	叁四Db
闭塞	bìsè	动	3	柒二Qa
陛下	bìxià	名	4	壹一Lj
